"","rulename","ruledesign"
"1","AWM - Manure and Food Processing Waste","limitation"
"2","ENG - Septic Tank Absorption Fields","limitation"
"3","AWM - Land Application of Municipal Sewage Sludge","limitation"
"4","FOR - Potential Erosion Hazard (Off-Road/Off-Trail)old","limitation"
"5","AWM - Rapid Infiltration Disposal of Wastewater","limitation"
"6","AWM - Slow Rate Process Treatment of Wastewater","limitation"
"7","AWM - Overland Flow Process Treatment of Wastewater","limitation"
"8","FOR - Soil Rutting Hazard","limitation"
"9","FOR - Road Suitability (Natural Surface)","limitation"
"10","ENG - Shallow Excavations","limitation"
"11","FOR - Potential Erosion Hazard (Road/Trail)","limitation"
"12","ENG - Dwellings W/O Basements","limitation"
"13","FOR - Log Landing Suitability","limitation"
"14","FOR - Construction Limitations for Haul Roads/Log Landings","limitation"
"15","ENG - Dwellings With Basements","limitation"
"16","ENG - Small Commercial Buildings","limitation"
"17","ENG - Local Roads and Streets","limitation"
"18","ENG - Lawn, Landscape, Golf Fairway","limitation"
"19","ENG - Sanitary Landfill (Trench)","limitation"
"20","ENG - Sewage Lagoons","limitation"
"21","FOR - Harvest Equipment Operability","limitation"
"22","FOR - Mechanical Site Preparation (Surface)(old)","limitation"
"23","Climate DRAFT","limitation"
"24","Profile - Depth DRAFT","limitation"
"25","Profile DRAFT","limitation"
"26","Landscape - Weathering Features DRAFT","limitation"
"27","Landscape Flooding (N/A)","limitation"
"28","PRGM - SRPG (National Draft) Alpha Test","limitation"
"29","FOR - Mechanical Site Preparation (Deep)(old)","limitation"
"30","FOR - Mechanical Planting Suitability(old)","limitation"
"31","FOR - Hand Planting Suitability","limitation"
"32","GRL - Fencing, Post Depth =<24 inches","limitation"
"33","GRL - Fencing, Post Depth =<36 inches","limitation"
"34","Landscape - Channeled Surface Features DRAFT","limitation"
"35","WMS - Pond Reservoir Area","limitation"
"36","ENG - Sanitary Landfill (Area)","limitation"
"37","WMS - Tile Drains and Underground Outlets","limitation"
"38","ENG - Daily Cover for Landfill","limitation"
"39","FOR - Conservation Tree/Shrub Groups","class"
"40","CPS - Filter Strips (393)","limitation"
"41","CPS - Contour Buffer Strips (332)","limitation"
"42","WLF - Herbaceous Tundra DRAFT","limitation"
"43","WLF - Sedge-Grass Tundra DRAFT","limitation"
"44","WLF - Upland Shrub Tundra DRAFT","limitation"
"45","WLF - Tussock Tundra DRAFT","limitation"
"46","Too Arid (Aridic,Aridic-Ustic,Aridic-Xeric)","limitation"
"47","Too Arid (Aridic Moisture Regime)","limitation"
