category,ruledesign,count
AGR,limitation,84
AGR,suitability,37
AGR,class,9
AR,limitation,1
AWM,limitation,52
AWM,suitability,5
AWM,class,1
BLM,suitability,14
BLM,limitation,9
CCH,limitation,1
CEM,limitation,1
CLR,limitation,4
CLS,suitability,2
CPI,suitability,40
CPS,limitation,10
CT,limitation,3
CT,suitability,2
CTP,limitation,2
CZSS,class,4
CZSS,limitation,1
DE,limitation,2
DHS,limitation,13
DHS,suitability,4
DJH,limitation,2
ECFSG,limitation,1
ENG,limitation,186
ENG,suitability,83
ENG,class,7
FOR,limitation,183
FOR,suitability,17
FOR,class,5
FOTG,class,7
FSG,class,36
FSG,limitation,6
GET,limitation,1
GET,suitability,1
GNB,suitability,1
GRL,limitation,34
GRL,suitability,14
GRL,class,11
HORT,suitability,3
HSG,limitation,2
HSG,class,1
HYDS,limitation,2
IA,limitation,1
IA,suitability,1
IRR,limitation,1
JDC,limitation,1
LCC,class,3
LCC,limitation,3
MA,limitation,5
MIL,suitability,82
MIL,limitation,11
MINNESOTA,limitation,1
MN,limitation,2
MO,limitation,1
MPCA,limitation,1
MS,limitation,1
MT,class,1
NBPI,suitability,1
NCCPI,suitability,32
NCCPI,class,1
NE,limitation,3
NEIRT,limitation,46
NEW,limitation,1
NJ,limitation,2
NJ,suitability,1
NM,limitation,1
NP/REC,limitation,3
NPFSG,limitation,6
NPS,limitation,1
ODS,limitation,3
OK,limitation,2
OTHER,limitation,489
OTHER,suitability,101
OTHER,class,40
PASS,limitation,1
PCS,suitability,4
PFAS,class,1
PFAS,limitation,1
PFAS,suitability,1
PRGM,limitation,6
PRGM,suitability,4
RADON,limitation,1
RASTER,limitation,1
REC,limitation,15
RNG,suitability,7
RNG,limitation,4
RSK,limitation,1
RTF,limitation,21
SAS,limitation,16
SAS,class,6
SAS,suitability,3
SEFSG,limitation,1
SOH,limitation,8
SOH,suitability,5
SVI,limitation,3
TEST,limitation,1
TROP,suitability,5
URB,limitation,22
URB/REC,limitation,40
USFS,limitation,1
VA,limitation,8
VA,suitability,1
VEG,limitation,1
WAQ,class,3
WI,limitation,1
WLF,limitation,55
WLF,suitability,3
WMS,limitation,107
WMS,class,2
WQM,limitation,1
